Terme candidat,Validé ?,Justification
Radiothérapie,Oui,La radiothérapie utilise des rayonnements pour détruire sélectivement les cellules cancéreuses tout en épargnant les tissus sains..
Cancer,Oui," Le terme 'cancers' désigne les traitements spécifiques et les soins spécialisés disponibles, comme la médecine de précision, qui adapte le traitement en fonction des caractéristiques génétiques et des besoins individuels des patients atteints de cancer."
Centres,Oui,"Le terme 'centres' se réfère aux institutions et institutions spécialisées dans le traitement et la gestion des cancers, comme les centres de l'interrégion Est, où des réunions et des événements sont organisés pour partager des connaissances et coordonner les soins entre les différents établissements."
Techniques,Oui,"Le terme 'techniques' est validé car il fait référence aux différentes méthodes de radiothérapie utilisées pour traiter les patients, telles que la radiothérapie conformationnelle en trois dimensions (3D) et la radiothérapie stéréotaxique."
Soins,Oui,"Le terme 'soins' est validé car il désigne l'unité de soins palliatifs, où tous les traitements nécessaires continuent d’être dispensés tout en priorisant le confort et les besoins du patient."
Irradiation,Oui,"Le terme 'Irradiation' est validé par les informations trouvées sur Dosiméta, qui présente un essai comparatif entre une préparation par injection de TSH recombinante humaine et une préparation par sevrage en hormones thyroïdiennes pour des patients ayant un cancer de la thyroïde différencié. Ce terme est pertinent dans le contexte de la radiothérapie, où l’irradiation est utilisée pour traiter divers types de cancers, notamment celui de la thyroïde."
Contrôle qualité,Oui,"Le terme 'Contrôle qualité' est validé par l’étude Skype 2, qui évalue l’efficacité d’une intervention combinée de kinésithérapie et de yoga intégrant un projet éducatif, sur les douleurs ostéoarticulaires ou musculaires chez des patientes ayant un cancer du sein traité par hormonothérapie. Ce projet éducatif et thérapeutique vise à améliorer la qualité de vie des patientes, en particulier dans la gestion des effets secondaires des traitements contre le cancer, illustrant l’importance du contrôle qualité dans les soins."
Recherche clinique,Oui,"Le terme 'Recherche clinique' est validé par l’enquête annuelle de l’Institut national du cancer, qui évalue les activités de recherche clinique en cancérologie en France. Cette évaluation se situe dans le cadre de l’axe III.5 de la Stratégie décennale de lutte contre les cancers 2021-2030, visant à assurer l’accès des patients à des thérapeutiques innovantes par le biais d’essais cliniques, illustrant ainsi l’importance de la recherche clinique dans le développement de nouvelles thérapies contre le cancer."
Modulation d’intensité,Oui,"La 'Modulation d’intensité' est validée comme une technique de radiothérapie conformationnelle. Elle consiste à faire varier la forme du faisceau de rayons au cours d’une même séance pour l’adapter précisément à la zone traitée, minimisant ainsi l’exposition des tissus avoisinants tout en maximisant l’efficacité du traitement. Cette méthode est particulièrement utilisée pour traiter certains cancers, en garantissant un ciblage précis et une protection accrue des tissus sains."
Radiothérapie stéréotaxique,Oui," La radiothérapie stéréotaxique est validée comme une méthode de traitement qui cible précisément la tumeur tout en irradiant la zone environnante. En irradiant la tumeur ou la zone où elle était située, il est difficile d’éviter complètement d’irradier et donc d’altérer les cellules saines proches, ce qui explique l’apparition des effets indésirables. Cette méthode est utilisée pour offrir un traitement précis tout en minimisant les risques pour les tissus sains adjacents."
